group,time,pulserate,systolicbloodpressure,diastolicbloodpressure,quaternion,euler,acceleration
12,2019-03-09T13:18:18.224Z,85,86,57,"[0.9835814237594604, 0.10070690512657166, 0.11905482411384583, 0.0908384919166565]","[-10.508835792541504, -14.625288009643555, -9.200850486755371]","[0.017021378502249718, -0.01127495989203453, 0.06738048046827316]"
12,2019-03-09T13:18:19.230Z,85,87,57,"[0.9835957288742065, 0.1006278321146965, 0.11900119483470917, 0.09084182232618332]","[-10.499848365783691, -14.61843204498291, -9.202886581420898]","[0.019239919260144234, -0.012910406105220318, 0.06852966547012329]"
12,2019-03-09T13:18:20.239Z,85,88,57,"[0.9835811257362366, 0.10065056383609772, 0.1190757155418396, 0.09087669849395752]","[-10.50149154663086, -14.627567291259766, -9.20600414276123]","[0.018481791019439697, -0.013083046302199364, 0.0692928358912468]"
12,2019-03-09T13:18:21.244Z,85,89,58,"[0.9835851192474365, 0.10055200010538101, 0.11910399794578552, 0.09090523421764374]","[-10.48927116394043, -14.63019847869873, -9.210593223571777]","[0.01826593652367592, -0.01267610490322113, 0.07025103271007538]"
12,2019-03-09T13:18:22.247Z,84,90,58,"[0.9835980534553528, 0.10045399516820908, 0.11911778897047043, 0.09085677564144135]","[-10.478368759155273, -14.630352020263672, -9.206256866455078]","[0.018387462943792343, -0.012890970334410667, 0.07031241059303284]"
12,2019-03-09T13:18:31.867Z,85,88,58,"[0.9835885167121887, 0.10046309232711792, 0.11917341500520706, 0.09087660908699036]","[-10.478760719299316, -14.637030601501465, -9.207975387573242]","[0.018845334649086, -0.012876458466053009, 0.0712711364030838]"
12,2019-03-09T13:18:32.873Z,85,89,58,"[0.9835904836654663, 0.10049232095479965, 0.11914703249931335, 0.0908573567867279]","[-10.482669830322266, -14.634073257446289, -9.205499649047852]","[0.018026728183031082, -0.013101118616759777, 0.06924505531787872]"
12,2019-03-09T13:18:33.879Z,85,89,58,"[0.9836030006408691, 0.10041451454162598, 0.11907195299863815, 0.090906523168087]","[-10.47329330444336, -14.625249862670898, -9.213082313537598]","[0.018512126058340073, -0.014224553480744362, 0.07106778770685196]"
12,2019-03-09T13:18:34.886Z,85,89,58,"[0.9836163520812988, 0.10046081244945526, 0.11894426494836807, 0.09087848663330078]","[-10.4800386428833, -14.610727310180664, -9.21018123626709]","[0.019032645970582962, -0.01235806941986084, 0.07310880720615387]"
12,2019-03-09T13:18:35.892Z,85,89,58,"[0.9389276504516602, 0.024068553000688553, 0.33997100591659546, -0.04749161750078201]","[-5.763847827911377, -39.50387191772461, 7.862361431121826]","[0.05928928405046463, 0.1450018584728241, 0.007195727899670601]"
12,2019-03-09T13:18:36.898Z,85,89,58,"[0.9698311686515808, -0.1287836730480194, 0.20422543585300446, 0.03367972746491432]","[16.6117000579834, -22.79615020751953, -7.349479675292969]","[0.01868751272559166, -0.047648072242736816, 0.031957514584064484]"
12,2019-03-09T13:18:37.904Z,85,89,58,"[0.9735313653945923, 0.011091264896094799, 0.20561006665229797, -0.09918735921382904]","[-3.899437427520752, -23.461679458618164, 12.44493579864502]","[0.062184542417526245, 0.030716251581907272, 0.14297862350940704]"
12,2019-03-09T13:18:38.910Z,85,89,58,"[0.8995679020881653, -0.022862454876303673, 0.1568692922592163, -0.4069976508617401]","[-5.207492828369141, -17.508012771606445, 49.48993682861328]","[0.1041303277015686, 0.12698717415332794, -0.025779377669095993]"
12,2019-03-09T13:18:39.916Z,86,99,61,"[0.8709261417388916, 0.2293950617313385, 0.1156301498413086, -0.4189215898513794]","[-29.766958236694336, -0.527905285358429, 51.516082763671875]","[-0.017492108047008514, -0.15817247331142426, -0.005452037788927555]"
12,2019-03-09T13:18:40.923Z,86,101,61,"[0.8765893578529358, 0.18638086318969727, 0.09442287683486938, -0.433517724275589]","[-24.11881446838379, -0.2258237898349762, 52.677703857421875]","[0.09182807803153992, 0.01386318914592266, 0.07294900715351105]"
12,2019-03-09T13:18:41.929Z,86,101,61,"[0.8751826286315918, 0.1485338658094406, 0.10810603201389313, -0.4475557208061218]","[-20.935806274414062, -3.225778102874756, 54.76525115966797]","[0.10197050124406815, -0.003852099645882845, 0.049789588898420334]"
